volume_id,0_spleen,1_spleen,2_spleen,3_spleen,4_spleen,5_spleen,6_spleen,7_spleen,8_spleen,9_spleen,0_liver,1_liver,2_liver,3_liver,4_liver,5_liver,6_liver,7_liver,8_liver,9_liver,seg_spleen,seg_liver
KORA2459477,17220,17421,17294,17392,16999,17473,16950,17392,17407,16712,117246,118127,118026,118506,117258,117457,117770,117274,117282,117337,117577,17339
KORA2453642,8873,7355,7209,8214,7862,6922,7870,8712,7136,7602,111913,111852,110946,112594,111335,114737,111166,112298,111527,114187,110754,7346
KORA2453470,60499,60217,60206,59254,59969,58869,57478,61528,60207,60622,177069,179000,178665,177875,179161,177285,182238,177935,177189,179461,177461,61442
KORA2455946,22104,21959,22110,22128,22037,22082,22160,22102,22024,21983,131246,130497,131183,131443,131071,131008,130842,130799,130842,130794,130636,22026
KORA2453844,10048,10232,10133,10028,9925,10173,10328,9956,10109,9998,126684,126631,126565,126803,126962,126705,126529,127137,127074,126618,126626,10063
KORA2453048,10524,10546,10884,10436,10666,10755,10962,10524,10913,10861,90249,90451,90405,90806,91206,91406,90690,90510,91350,90696,90685,10698
KORA2459499,20095,19938,20145,19943,20213,19983,20058,20033,19919,20015,160072,161037,161241,161253,160148,160195,160247,160285,159998,160891,160180,19945
KORA2452801,23853,23738,23687,23924,23830,23899,24054,23906,23913,23616,117485,117262,117268,117445,117735,117678,117670,117860,117504,117581,117413,23631
KORA2461392,43673,43501,43452,43560,43610,43514,43547,43458,43580,43655,186862,185559,185816,185546,186534,186976,187260,186393,186600,186189,185824,43553
KORA2456385,10956,11103,11192,11028,11009,11142,11231,11088,11325,10885,102321,102220,102388,102470,102906,102821,102932,101866,101984,102359,102345,11161
KORA2458040,16196,15633,14939,15505,16711,16096,16107,15363,15263,14718,149802,150222,150260,149815,151049,148731,150405,150494,150294,149681,149713,15572
KORA2460768,21617,21565,21763,21793,21615,21701,21611,21718,21726,21650,116759,116136,116258,116327,115919,115804,116060,116541,116046,115667,115863,21657
KORA2452381,16910,17026,17048,16926,17066,17064,17036,17033,17094,17009,147021,148114,147304,146952,147759,147647,147236,148137,147040,148001,147373,17007
KORA2459244,9244,10963,8305,10625,8707,8865,10396,10770,7354,10216,179072,175555,175949,176409,176071,178935,180435,176718,177120,175672,174593,8634
KORA2461868,11936,12043,11987,11954,11971,12004,11997,11950,12066,11987,124676,124042,125051,125550,124256,124238,124941,124912,125097,125048,124704,11982
KORA2453328,15127,14733,14874,14777,14958,14789,14853,14939,14797,15073,144090,144167,144390,144515,144606,144398,144132,144542,144792,144619,144412,14778
KORA2460348,20438,20720,20509,20464,20288,20445,20481,20476,20446,20317,119743,120273,120397,120000,120195,119845,120799,120275,120400,120019,120219,20483
